Region,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,阿鲁巴,ABW,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,阿富汗,AFG,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425977274,1.030117429,0.94352104,0.863450818,0.799201651,6.392051026,6.924057614,6.789976222,6.241734578,6.13020995,5.968910927,0,1.626166537,1.66641884,0.328470989,0.313685834,0.578982789,0.568684612,1.030627848,2.746400132,3.204987579,3.400678457,3.209860418,2.971228373,2.627451611,2.579676799,2.497712621,2.398331712
Angola,安哥拉,AGO,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37269217,2.999884204,2.480665345,2.40080547,2.180092738,2.145412923,1.813006138,2.069520043,2.056563794,1.96326281,1.746386095,2.090993123,1.526430915,1.741490008,1.525091043,1.47085788,1.323877319,1.358650528,1.309813853,1.26183809,1.21578652,1.173743655,1.132845829,1.09343863,1.055508469,1.019049697,0.984669537,0.951561997
Albania,阿尔巴尼亚,ALB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.522915875,4.600698315,4.677844075,6.356470887,4.979609422,4.920119132,4.942288712,4.982049859,4.99872625,3.028252474,2.019423866,1.667999803,1.653148017,1.755571403,0.908010628,1.159659524,1.174468512,1.201970106,1.202762316,1.160422284,1.114993219,0.682812093,0.670023616,0.64267498,0.643266888,0.680094246
Andorra,安道尔共和国,AND,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab league countries,阿拉伯联盟国家,ARB,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.476137265,3.970656683,3.639262889,3.509561804,3.292084862,4.305249566,4.315207413,4.278657551,4.225658507,3.910703836,3.893759109,3.907912754,3.773967681,3.652539528,3.27369735,3.275911856,3.737234878,3.26304308,3.369516323,3.263672896,3.230444564,3.063879372,2.942652879,2.33273223,2.302276425,2.310120025,2.190824094,2.113097127
United Arab Emirates,阿拉伯联合酋长国,ARE,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.185793034,6.686354265,5.170489852,4.78948473,4.865142309,5.383241287,4.727108705,4.47689988,4.223218028,3.972511434,3.752692984,3.482037435,2.026791745,2.249705756,1.974980161,1.736427352,1.46409858,1.222840942,1.03613069,0.906289972,0.822770413,0.787872814,0.772186391,0.948959677,0.947449061,0.941740776,0.939792562,0.931909927
Argentina,阿根廷,ARG,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637640568,0.511071637,0.461336849,0.450560358,0.467247001,0.657577938,0.677203792,0.664496217,0.651393741,0.627665101,0.622004173,0.608974554,0.605773579,0.602192509,0.586322139,0.58121112,0.599007651,0.598059782,0.597009562,0.570774289,0.57062221,0.560401208,0.554125885,0.556378259,0.554221862,0.543469186,0.534560191,0.523695553
Armenia,亚美尼亚,ARM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.405923013,1.513211417,3.32635292,4.610597269,4.475339271,4.714305366,4.22130502,4.228803124,3.292446288,3.334426715,3.523967617,3.512539612,3.761115439,3.746440881,3.587857469,3.199539266,3.202496117,4.193902125,4.024322189,3.95603519,3.504221838,3.471890766,3.478019413,3.512225549,3.57441852,3.567089306
American Samoa,美属萨摩亚,ASM,武装部队人员（占劳动力总数的百分比）,MS.MIL.TOTL.TF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
